,Bird Name,F1,F2
167,Eurasian Nuthatch,285.0,950.0
168,Common Redstart,270.0,900.0000000000001
169,Carrion Crow,615.0,
170,Rock Dove,390.00000000000006,1570.0000000000002
171,Eurasian Collared Dove,,
172,Coal Tit,535.0,1150.0
173,Common Chaffinch,,930.0000000000001
174,Rook,385.0,1885.0
175,Eurasian Wryneck,,1645.0
176,Common Nightingale,300.0,1460.0
177,Red Crossbill,,2290.0000000000005
178,Common Starling,,
179,Red Crossbill,325.0,685.0
180,Eurasian Reed Warbler,335.0,2940.0
181,Common Whitethroat,305.0,745.0
182,Eurasian Golden Oriole,350.0,1965.0
183,Redwing,315.0,715.0
184,European Greenfinch,265.0,655.0
185,Redwing,,2670.0
186,Eurasian Bullfinch,,2810.0
187,Common Redshank,280.0,2120.0
188,Common Reed Bunting,,
189,Long-tailed Tit,,
190,Stock Dove,500.0,2005.0
191,Common Swift,295.0,655.0
192,European Bee-eater,600.0,1960.0
193,Rock Dove,330.00000000000006,1470.0
194,Corn Bunting,440.0,2950.0
195,Common Moorhen,355.0,730.0
196,Common Swift,345.00000000000006,1015.0000000000001
197,Western Jackdaw,590.0,
198,Canada Goose,625.0,1550.0
199,Meadow Pipit,,
200,Eurasian Collared Dove,625.0,745.0
201,Yellowhammer,,
202,Goldcrest,,
203,Eurasian Jay,,660.0000000000001
204,Lesser Whitethroat,,
205,Sedge Warbler,530.0,670.0
206,European Bee-eater,,
207,Western Jackdaw,,
208,Common Snipe,280.0,785.0000000000001
209,Meadow Pipit,335.0,1060.0
210,Wood Sandpiper,,1510.0000000000002
211,Common Chiffchaff,345.00000000000006,745.0
212,Stock Dove,405.00000000000006,890.0
213,Red-throated Loon,375.00000000000006,720.0000000000001
214,Rock Dove,,
215,Barn Swallow,300.0,
216,Goldcrest,,2910.0000000000005
217,Grey Plover,250.0,675.0000000000001
218,Common Starling,,
219,Eurasian Treecreeper,465.00000000000006,2465.0000000000005
220,Common Pheasant,355.0,1245.0
221,European Herring Gull,,1430.0
222,Common Redshank,365.0,1615.0000000000002
223,Wood Warbler,,
224,Willow Ptarmigan,315.0,920.0
225,Redwing,500.0,695.0000000000001
226,Spotted Flycatcher,,
227,Eurasian Coot,,
228,Eurasian Bullfinch,,
229,Common Chaffinch,290.0,660.0000000000001
230,European Herring Gull,480.00000000000006,1195.0
231,Garden Warbler,410.0,2885.0
232,Western Yellow Wagtail,425.0,1005.0
233,Spotted Flycatcher,,
234,Eurasian Nuthatch,255.00000000000003,980.0
235,Marsh Warbler,620.0,2960.0
236,European Nightjar,425.0,1075.0
237,Willow Ptarmigan,250.0,
238,Willow Tit,475.0,700.0
239,Eurasian Golden Oriole,,2895.0
240,Song Thrush,580.0,2675.0
241,Common Linnet,305.0,2940.0
242,Eurasian Magpie,530.0,2765.0
243,European Green Woodpecker,640.0,925.0000000000001
244,Wood Sandpiper,395.0,1520.0
245,European Nightjar,345.00000000000006,2030.0000000000002
246,Common Blackbird,280.0,770.0
247,Willow Tit,310.0,1065.0
248,Sedge Warbler,415.0,1985.0000000000002
249,Common Whitethroat,275.0,700.0
250,European Robin,480.00000000000006,795.0
251,Tree Pipit,340.0,2750.0
252,Eurasian Oystercatcher,350.0,2975.0000000000005
253,Yellowhammer,,
254,Black Woodpecker,,
255,Great Spotted Woodpecker,260.0,1810.0000000000002
256,Common Chaffinch,270.0,1285.0
257,Corn Bunting,475.0,905.0000000000001
258,Common Blackbird,,1445.0000000000002
259,European Greenfinch,605.0,1040.0
260,Barn Swallow,,
261,Dunnock,635.0,2185.0
262,Stock Dove,515.0,
263,European Honey Buzzard,280.0,990.0000000000001
